,year,month,day,Ziua_Saptamanii,Ora,Minute,carbune,consum,hidro,hidrocarburi,nuclear,eolian,productie,fotovolt,biomasa,stocare,sold
0,2025,8,31,sunday,16,55,582,5030,729,483,1348,526,4191,369,46,107,838
1,2025,8,31,sunday,7,25,612,4714,943,478,1348,242,3816,48,45,96,898
2,2025,8,30,saturday,21,56,606,6359,1873,512,1344,650,5102,-2,47,71,1257
3,2025,8,30,saturday,12,25,606,4494,639,477,1345,41,4580,1422,47,0,-85
4,2025,8,30,saturday,2,25,607,5123,874,1307,1346,110,4289,-3,45,0,833
5,2025,8,29,friday,16,56,778,5433,737,1088,1335,531,5776,1226,49,28,-343
6,2025,8,29,friday,7,25,760,5888,1427,1338,1350,379,5520,112,48,103,367
7,2025,8,28,thursday,21,55,811,6869,1971,1279,1337,598,6060,-3,57,8,808
8,2025,8,28,thursday,12,25,792,4743,508,1100,1290,261,5797,1785,58,0,-1053
9,2025,8,28,thursday,2,55,803,5052,873,1314,1341,141,4523,-4,54,0,529
10,2025,8,27,wednesday,17,25,749,5647,955,1210,1334,615,5849,927,56,0,-202
11,2025,8,27,wednesday,7,55,774,5866,1498,1318,1344,44,5477,320,54,122,388
12,2025,8,26,tuesday,22,25,757,6355,1784,1375,1330,778,6076,-3,53,0,279
13,2025,8,26,tuesday,12,55,707,4658,448,995,1328,155,5433,1736,54,7,-775
14,2025,8,26,tuesday,3,25,755,4962,724,1350,1344,213,4449,-4,53,0,512
15,2025,8,25,monday,17,40,724,5786,810,1040,1333,397,5099,738,53,0,687
16,2025,8,25,monday,8,8,613,5742,1378,1355,1338,220,5383,327,52,97,358
17,2025,8,24,sunday,22,38,511,5479,1424,996,1337,1367,5678,-4,45,0,-198
18,2025,8,24,sunday,12,59,571,3672,525,473,1335,595,4585,1037,39,1,-913
19,2025,8,24,sunday,3,30,608,4689,854,544,1333,261,3668,-4,38,31,1020
20,2025,8,23,saturday,18,0,608,5495,874,530,1325,447,4292,456,39,9,1203
21,2025,8,23,saturday,8,30,550,5305,804,494,1328,1508,4999,253,39,19,306
22,2025,8,22,friday,23,0,702,5991,1146,1226,1323,1131,5570,-3,44,0,421
23,2025,8,22,friday,13,29,780,5917,555,1048,1316,1047,5812,1036,23,1,105
24,2025,8,22,friday,3,59,723,5000,784,1313,1333,1774,5948,-5,23,0,-947
25,2025,8,21,thursday,18,30,748,6738,1667,1301,1314,1480,6884,341,31,0,-145
26,2025,8,21,thursday,9,0,777,5896,1384,1265,1331,117,5701,746,29,49,194
27,2025,8,20,wednesday,23,27,735,5965,1307,1327,1322,1131,5858,-3,29,7,107
28,2025,8,20,wednesday,10,47,703,5120,869,1019,1327,40,5299,1315,23,0,-179
29,2025,8,20,wednesday,1,8,748,5329,822,1312,1326,226,4458,-4,27,0,871
30,2025,8,19,tuesday,15,38,839,5612,509,1077,1324,98,4827,944,19,12,785
31,2025,8,19,tuesday,6,8,747,5317,850,1293,1328,827,5056,-4,12,0,260
32,2025,8,18,monday,20,30,779,6921,1887,1287,1316,1066,6402,0,11,55,519
33,2025,8,18,monday,10,59,827,5773,784,1086,1278,686,5614,939,11,0,159
34,2025,8,18,monday,1,29,743,4855,896,1261,1325,437,4662,-4,7,1,193
35,2025,8,17,sunday,16,0,833,4688,541,1047,1323,224,4732,753,7,0,-43
36,2025,8,17,sunday,6,30,834,4664,840,1210,1323,14,4316,0,15,78,348
37,2025,8,16,saturday,20,56,872,6762,1583,1301,1323,436,5623,-2,25,82,1139
38,2025,8,16,saturday,11,28,752,4544,699,1176,1329,184,5414,1232,28,11,-869
39,2025,8,16,saturday,1,46,686,5018,808,1239,1328,294,4387,-4,25,7,630
40,2025,8,15,friday,16,17,822,4855,620,1086,1323,783,5735,1065,26,6,-880
41,2025,8,15,friday,6,47,748,4905,978,1309,1328,313,4816,16,34,87,89
42,2025,8,14,thursday,21,17,879,7456,2160,1374,1318,182,6033,-3,34,88,1423
43,2025,8,14,thursday,11,48,838,5208,862,1023,1271,256,5820,1527,32,7,-611
44,2025,8,14,thursday,1,25,778,5416,1064,1339,1326,102,4693,-6,27,61,723
45,2025,8,13,wednesday,11,38,838,5165,766,934,1302,213,5545,1458,30,0,-380
46,2025,8,13,wednesday,2,9,657,5212,1252,1311,1331,43,4631,-6,26,15,580
47,2025,8,12,tuesday,16,29,713,5597,859,991,1303,246,5306,1160,30,0,291
48,2025,8,12,tuesday,6,0,712,5316,1156,1333,1329,1273,5858,-5,19,38,-541
49,2025,8,11,monday,20,30,755,7527,2122,1375,1268,620,6412,197,21,51,1114
50,2025,8,11,monday,10,50,727,5672,1071,955,1248,439,5818,1344,21,9,-146
51,2025,8,11,monday,1,8,747,5129,1107,1329,1279,618,5114,-6,21,15,14
52,2025,8,10,sunday,15,29,723,4657,785,652,1270,333,4583,796,21,0,73
53,2025,8,10,sunday,5,47,713,4847,1197,856,1270,346,4452,-7,20,54,395
54,2025,8,9,saturday,20,10,763,6887,2008,910,1276,396,5448,33,31,26,1439
55,2025,8,9,saturday,10,32,736,4757,943,705,1270,-19,4863,1193,31,3,-106
56,2025,8,9,saturday,0,59,675,5562,1560,856,1264,19,4404,-5,32,0,1157
57,2025,8,8,friday,15,30,690,5299,897,691,1302,339,5041,1082,31,6,257
58,2025,8,7,thursday,15,59,720,5693,846,725,1242,1145,5713,956,41,35,-20
59,2025,8,7,thursday,5,30,741,5319,1271,880,1304,1911,6159,-5,43,12,-840
60,2025,8,6,wednesday,19,26,832,7042,2076,542,1281,299,5278,177,40,29,1764
61,2025,8,6,wednesday,9,17,807,5928,1274,471,1278,35,4649,734,42,5,1278
62,2025,8,5,tuesday,23,30,738,6311,1655,1308,1312,177,5249,-6,61,1,1062
63,2025,8,5,tuesday,13,41,733,5636,1030,1088,1304,379,5650,1045,57,12,-13
64,2025,8,5,tuesday,3,48,753,5293,1159,1164,1313,420,4871,-6,56,10,422
65,2025,8,4,monday,16,48,779,6273,1122,860,1270,375,5272,790,59,13,1000
66,2025,8,4,monday,6,0,710,5034,1340,949,1330,193,4576,-4,52,3,457
67,2025,8,3,sunday,19,19,728,6147,1958,838,1332,342,5404,147,55,0,742
68,2025,8,3,sunday,8,30,499,4534,1222,545,1330,309,4487,525,48,4,46
69,2025,8,2,saturday,21,31,775,6726,1962,806,1323,181,5165,-3,58,60,1560
70,2025,8,2,saturday,11,32,720,4562,994,538,1281,178,5096,1302,53,26,-533
71,2025,8,2,saturday,0,57,836,5578,1513,1171,1323,24,4923,-5,59,0,655
72,2025,8,1,friday,14,9,894,5174,1236,890,1325,73,5881,1410,49,0,-706
73,2025,8,1,friday,4,10,971,5294,1332,1139,1323,190,5008,-6,56,0,286
74,2025,7,31,thursday,18,0,927,6462,1215,1175,1250,149,5247,444,57,26,1215
75,2025,7,31,thursday,7,30,889,6094,1388,1138,1326,260,5293,151,58,80,800
76,2025,7,30,wednesday,21,48,1172,7158,1894,1230,1306,298,5990,-4,60,32,1168
77,2025,7,30,wednesday,12,18,1064,5893,913,887,1296,786,5995,982,53,10,-102
78,2025,7,30,wednesday,2,17,1169,5383,846,1161,1317,709,5245,-6,43,4,137
79,2025,7,29,tuesday,14,9,1211,6731,820,1052,1279,150,5273,671,55,24,1458
80,2025,7,29,tuesday,4,39,1211,5472,752,1124,1311,486,4956,-6,52,24,516
81,2025,7,28,monday,19,9,1190,7731,1842,1073,1313,157,5861,225,59,0,1869
82,2025,7,28,monday,9,38,988,6541,1318,1116,1300,146,5713,760,47,35,827
83,2025,7,28,monday,0,9,923,5861,1450,1117,1319,529,5543,-6,45,164,317
84,2025,7,27,sunday,14,38,987,5335,530,614,1319,1012,5596,1082,48,0,-260
85,2025,7,27,sunday,5,11,915,5303,711,1087,1324,267,4395,-6,36,59,908
86,2025,7,26,saturday,19,38,959,7597,1629,1079,1316,1083,6257,92,58,36,1340
87,2025,7,26,saturday,10,9,992,5842,714,1028,1323,53,5291,1113,56,9,550
88,2025,7,26,saturday,0,38,875,6369,1469,1112,1311,949,5773,-4,60,0,595
89,2025,7,25,friday,15,9,973,6912,747,979,1292,749,6165,1361,55,6,746
90,2025,7,25,friday,5,38,926,5745,774,1112,1317,166,4348,-3,54,1,1396
91,2025,7,24,thursday,20,8,1079,7923,1945,1178,1308,549,6248,76,59,50,1675
92,2025,7,24,thursday,10,38,973,6265,922,1094,1306,161,5907,1360,52,36,357
93,2025,7,24,thursday,1,8,893,6023,1397,1170,1329,58,4923,-5,58,20,1099
94,2025,7,23,wednesday,15,38,934,6279,786,870,1314,345,5771,1440,58,20,508
95,2025,7,23,wednesday,6,8,895,5830,1397,1114,1329,418,5235,1,58,20,594
